Br	Tox1
CC(C)CCOC(=O)c1ccc(N(C)C)cc1	Tox1161
CC(C)CCOC(=O)c1ccccc1	Tox1162
CC(C)CCOCc1ccccc1	Tox1163
CC(C)CCON=O	Tox1164
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	Tox1165
CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@@H]12)S(=O)(=O)c1ccc(N)cc1	Tox1166
CC(C)CN(C[C@@H](OP(=O)(O)O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	Tox1167
CC(C)CNCC(C)C	Tox1168
CC(C)CO	Tox1169
CC(C)COC(=O)C(C)C	Tox1170
CC(C)COC(=O)C=Cc1ccccc1	Tox1171
CC(C)COC(=O)CC(C(=O)OCC(C)C)S(=O)(=O)O	Tox1172
CC(C)COC(=O)CCCCC(=O)OCC(C)C	Tox1173
CC(C)COC(=O)COc1cc(Cl)c(Cl)cc1Cl	Tox1174
CC(C)COC(=O)COc1ccc(Cl)cc1Cl	Tox1175
CC(C)COC(=O)OCN1C(=O)CN(CCN2CC(=O)N(COC(=O)OCC(C)C)C(=O)C2)CC1=O	Tox1176
CC(C)COC(=O)c1ccc(N)cc1	Tox1177
CC(C)COC(=O)c1ccc(O)cc1	Tox1178
CC(C)COC(=O)c1ccccc1	Tox1179
CC(C)COC(=O)c1ccccc1C(=O)OCC(C)C	Tox1180
CC(C)COC(=O)c1ccccc1O	Tox1181
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1	Tox1182
CC(C)CON=O	Tox1183
CC(C)COP(=O)(OCC(C)C)OCC(C)C	Tox1184
CC(C)CP(=S)(S)CC(C)C	Tox1185
CC(C)C[C@@H](N)C(=O)O	Tox1186
CC(C)C[C@@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O	Tox1187
CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O	Tox1188
CC(C)C[C@@H]1[C@H](c2ccccc2)OC(=O)N1CCCN1CCCCCC1	Tox1189
CC(C)C[C@H](CN)CC(=O)O	Tox1190
CC(C)C[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O	Tox1191
CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O	Tox1192
CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@@H]1C(=O)NCC(N)=O	Tox1193
CC(C)C[C@H](NC(=O)[C@H](CCc1ccccc1)NC(=O)CN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)[C@@]1(C)CO1	Tox1194
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O	Tox1195
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12	Tox1196
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C[C@@H]4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12	Tox1197
CC(C)C[P+](C)(CC(C)C)CC(C)C	Tox1198
CC(C)Cc1ccc(C(C)C(=O)O)cc1	Tox1199
CC(C)Cc1ccc(C(C)C(=O)OCc2ccccn2)cc1	Tox1200
CC(C)Cc1ccc(CC(=O)O)cc1	Tox1201
CC(C)Cc1ccc([C@@H](C)C(=O)NS(C)(=O)=O)cc1	Tox1202
CC(C)Cc1ccc([C@H](C)C(=O)O)cc1	Tox1203
CC(C)Cc1ccccc1	Tox1204
CC(C)Cc1nccs1	Tox1205
CC(C)Cn1cnc2c(N)nc3ccccc3c21	Tox1206
CC(C)Cn1cnc2c1c(=O)n(C)c(=O)n2C	Tox1207
CC(C)N(C(=O)CCl)c1ccccc1	Tox1208
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1	Tox1209
CC(C)N(C(=O)SCC(Cl)=C(Cl)Cl)C(C)C	Tox1210
CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C	Tox1211
CC(C)N(C)C	Tox1212
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	Tox1213
CC(C)N(CCO)C(C)C	Tox1214
CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C	Tox1215
CC(C)N(c1ccccc1)C(C)C	Tox1216
CC(C)N1C(=O)N(c2ccccc2)CSC1=NC(C)(C)C	Tox1217
CC(C)N1C(=O)c2ccccc2C1=O	Tox1218
CC(C)N1C(=O)c2ccccc2NS1(=O)=O	Tox1219
CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	Tox1220
CC(C)N=C=NC(C)C	Tox1221
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1	Tox1222
CC(C)NC(=O)N1CC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O	Tox1223
CC(C)NC(=O)NC(C)C	Tox1224
CC(C)NC(=O)c1ccc(C=O)cc1	Tox1225
CC(C)NC(=O)c1ccccc1N	Tox1226
CC(C)NC(C)C	Tox1227
CC(C)NC(C)Cc1ccc(I)cc1	Tox1228
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	Tox1229
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1	Tox1230
CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1	Tox1231
CC(C)NCC(O)COc1cccc2[nH]ccc12	Tox1232
CC(C)NCC(O)COc1cccc2ccccc12	Tox1233
CC(C)NCC(O)COc1ccccc1-n1cccc1	Tox1234
CC(C)NCC(O)c1cc(O)cc(O)c1	Tox1235
CC(C)NCC(O)c1ccc(N)c(C#N)c1	Tox1236
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1	Tox1237
CC(C)NCC(O)c1ccc(O)c(O)c1	Tox1238
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1	Tox1239
CC(C)NCC(O)c1ccc2ccccc2c1	Tox1240
CC(C)NCC(O)c1ccccc1Cl	Tox1241
CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1	Tox1242
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21	Tox1243
CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1	Tox1244
CC(C)NC[C@@H](O)COc1cccc2ccccc12	Tox1245
CC(C)NNC(=O)c1ccncc1	Tox1246
CC(C)Nc1ccc(NC(C)C)c2c1C(=O)c1ccccc1C2=O	Tox1247
CC(C)Nc1ccc(Nc2ccccc2)cc1	Tox1248
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1	Tox1249
CC(C)Nc1nc(Cl)nc(NC(C)C)n1	Tox1250
CC(C)Nc1nc(N)nc(Cl)n1	Tox1251
CC(C)O	Tox1252
CC(C)OB(OC(C)C)OC(C)C	Tox1253
CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1	Tox1254
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1	Tox1255
CC(C)OC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1	Tox1256
CC(C)OC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1	Tox1257
CC(C)OC(=O)CCC(=O)OC(C)C	Tox1258
CC(C)OC(=O)CCCCC(=O)OC(C)C	Tox1259
CC(C)OC(=O)COc1ccc(Cl)cc1Cl	Tox1260
CC(C)OC(=O)Cc1ccccc1	Tox1261
CC(C)OC(=O)Nc1ccc2[nH]c(-c3cscn3)nc2c1	Tox1262
CC(C)OC(=O)Nc1cccc(Cl)c1	Tox1263
CC(C)OC(=O)Nc1ccccc1	Tox1264
CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C	Tox1265
CC(C)OC(=O)c1cc(C(=O)OC(C)C)cc([N+](=O)[O-])c1	Tox1266
CC(C)OC(=O)c1cc2c(OCC(O)CNC(C)(C)C)cccc2[nH]1	Tox1267
CC(C)OC(=O)c1ccccc1	Tox1268
CC(C)OC(=O)c1ccccc1C(=O)OC(C)C	Tox1269
CC(C)OC(=S)S	Tox1270
CC(C)OC(C)C	Tox1271
CC(C)OC=O	Tox1272
CC(C)OCC1CO1	Tox1273
CC(C)OCCO	Tox1274
CC(C)OP(=O)(CP(=O)(OC(C)C)OC(C)C)OC(C)C	Tox1275
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1	Tox1276
CC(C)OP(C)(=O)OC(C)C	Tox1277
CC(C)OS(C)(=O)=O	Tox1278
CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl	Tox1279
CC(C)Oc1ccc2c(=O)c(-c3ccccc3)coc2c1	Tox1280
CC(C)Oc1cccc(NC(=O)c2ccccc2C(F)(F)F)c1	Tox1281
CC(C)Oc1ccccc1O	Tox1282
CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1	Tox1283
CC(C)S	Tox1284
CC(C)SCc1ccco1	Tox1285
CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)CC[C@@H]3C)CCC[C@@]21C	Tox1286
CC(C)[C@@H](Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	Tox1287
CC(C)[C@@H]1CC[C@@H](C)CC1=O	Tox1288
CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1P(=O)(c1ccccc1)c1ccccc1	Tox1289
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	Tox1290
CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c45)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O	Tox1291
CC(C)[C@H](C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c1ccc(OC(F)F)cc1	Tox1292
CC(C)[C@H](C(=O)O[C@H](C#N)c1cccc(Oc2ccccc2)c1)c1ccc(Cl)cc1	Tox1293
CC(C)[C@H](N)C(=O)OCC(CO)OCn1cnc2c(=O)nc(N)[nH]c21	Tox1294
CC(C)[C@H](N)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21	Tox1295
CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1	Tox1296
CC(C)[C@H]1CC[C@@H](C)CC1=O	Tox1297
CC(C)[C@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1	Tox1298
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O	Tox1299
CC(C)[C@]12CC(=O)[C@H](C)[C@H]1C2	Tox1300
CC(C)[N+](=O)[O-]	Tox1301
CC(C)[N+](C)(C)CC(O)COc1cccc2ccccc12	Tox1302
CC(C)[N+](C)(CCC(C(N)=O)(c1ccccc1)c1ccccc1)C(C)C	Tox1303
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C	Tox1304
CC(C)[N+]1(C)C2CCC1CC(C(=O)OC(CO)c1ccccc1)C2	Tox1305
CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	Tox1306
CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O	Tox1307
CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O	Tox1308
CC(C)c1cc(C(C)C)cc(C(C)C)c1	Tox1309
CC(C)c1cc(F)cc2c1C[C@](CCN(C)CCCc1nc3ccccc3[nH]1)(OC(=O)C1CC1)CC2	Tox1310
CC(C)c1cc2c(cc1S(=O)(=O)O)[C@@]1(C)CCC[C@@](C)(C(=O)O)[C@@H]1CC2	Tox1311
CC(C)c1ccc(C#N)cc1	Tox1312
CC(C)c1ccc(C(=O)N=C(N)N)cc1S(C)(=O)=O	Tox1313
CC(C)c1ccc(C(C)C)cc1	Tox1314
CC(C)c1ccc(C=O)cc1	Tox1315
CC(C)c1ccc(CO)cc1	Tox1316
CC(C)c1ccc(NC(=O)N(C)C)cc1	Tox1317
CC(C)c1ccc(O)c(C(C)C)c1	Tox1318
CC(C)c1ccc(O)cc1	Tox1319
CC(C)c1ccc(S(=O)(=O)O)cc1	Tox1320
CC(C)c1ccc2c(C(C)C)cc(C(C)C)c(S(=O)(=O)O)c2c1	Tox1321
CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)CN	Tox1322
CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1	Tox1323
CC(C)c1ccc2cc(C(C)C)ccc2c1	Tox1324
CC(C)c1ccc2ncccc2c1	Tox1325
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1	Tox1326
CC(C)c1ccc2sc3ccccc3c(=O)c2c1	Tox1327
CC(C)c1cccc(C(C)C)c1	Tox1328
CC(C)c1cccc(C(C)C)c1N	Tox1329
CC(C)c1cccc(C(C)C)c1N1C(=O)c2ccc(O)cc2C1=O	Tox1330
CC(C)c1cccc(C(C)C)c1NC(=O)NS(=O)(=O)c1cc(C(C)(C)O)co1	Tox1331
CC(C)c1cccc(C(C)C)c1O	Tox1332
CC(C)c1cccc(O)c1	Tox1333
CC(C)c1ccccc1C(C)C	Tox1334
CC(C)c1ccccc1O	Tox1335
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	Tox1336
CC(C)c1ncc([N+](=O)[O-])n1C	Tox1337
CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)ccc3F)cn12	Tox1338
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21	Tox1339
CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21	Tox1340
CC(C/N=C/c1ccccc1O)/N=C/c1ccccc1O	Tox1341
CC(C=O)=Cc1ccccc1	Tox1342
CC(C=O)Cc1ccc(C(C)(C)C)cc1	Tox1343
CC(C=O)Cc1ccc(C(C)C)cc1	Tox1344
CC(C=O)Cc1ccc2c(c1)OCO2	Tox1345
CC(CC(=O)Cl)CC(C)(C)C	Tox1346
CC(CC(=O)O)CC(C)(C)C	Tox1347
CC(CC(C#N)(c1ccccc1)C(C)C)N(C)C	Tox1348
CC(CC(C#N)(c1ccccc1)c1ccccc1)N(C)C	Tox1349
CC(CC(C(N)=O)(c1ccccc1)c1ccccc1)N(C)C	Tox1350
CC(CC(C)C)=NO	Tox1351
CC(CC(c1ccccc1)c1ccccc1)NC(C)(C)C	Tox1352
CC(CC1c2ccccc2CCc2ccccc21)CN(C)C	Tox1353
CC(CC=O)CC(C)(C)C	Tox1354
CC(CC=O)CCCC(C)(C)O	Tox1355
CC(CC=O)c1ccccc1	Tox1356
CC(CCC(=O)O)(c1ccc(O)cc1)c1ccc(O)cc1	Tox1357
CC(CCC(=O)O)C(=O)O	Tox1358
CC(CCO)CC(C)(C)C	Tox1359
CC(CCO)CCCC(C)(C)O	Tox1360
CC(CCO)CCc1ccccc1	Tox1361
CC(CCc1ccc(O)cc1)NCC(O)c1ccc(O)cc1	Tox1362
CC(CCc1ccc(O)cc1)NCCc1ccc(O)c(O)c1	Tox1363
CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1	Tox1364
CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1	Tox1365
CC(CCl)OC(C)CCl	Tox1366
CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl	Tox1367
CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1	Tox1368
CC(CN(C)C)CN1c2ccccc2CCc2ccccc21	Tox1369
CC(CN(C)C)CN1c2ccccc2S(=O)(=O)c2ccccc21	Tox1370
CC(CN(CCN(CC(C)OCCO)CC(C)OCCO)CC(C)OCCO)OCCO	Tox1371
CC(CN)CC(C)(C)CCN	Tox1372
CC(CN)CCCN	Tox1373
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1	Tox1374
CC(CN1c2ccccc2Sc2ccc(S(=O)(=O)N(C)C)cc21)N(C)C	Tox1375
CC(CN1c2ccccc2Sc2ccccc21)N(C)C	Tox1376
CC(CN1c2ccccc2Sc2cccnc21)N(C)C	Tox1377
CC(CNC(=O)c1cccnc1)NC(=O)c1cccnc1	Tox1378
CC(CNC1CCCCC1)OC(=O)c1ccccc1	Tox1379
CC(CO)(CO)C(=O)O	Tox1380
CC(CO)(CO)CO	Tox1381
CC(CO)(CO)[N+](=O)[O-]	Tox1382
CC(CO)CO	Tox1383
CC(CO)Oc1ccccc1	Tox1384
CC(CO)c1ccccc1	Tox1385
CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1	Tox1386
CC(COC(C)(C)C)OCCCO	Tox1387
CC(COCC(C)OC(=O)c1ccccc1)OC(=O)c1ccccc1	Tox1388
CC(COCCO)OCCO	Tox1389
CC(COc1ccc(C(C)(C)C)cc1)OS(=O)OCCCl	Tox1390
CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1	Tox1391
CC(COc1ccccc1)N(CCCl)Cc1ccccc1	Tox1392
CC(COc1ccccc1)NC(C)C(O)c1ccc(O)cc1	Tox1393
CC(COc1ccccc1)NN	Tox1394
CC(C[N+](C)(C)C)OC(N)=O	Tox1395
CC(Cc1ccc(C(C)(C)C)cc1)CN1C[C@H](C)O[C@H](C)C1	Tox1396
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1	Tox1397
CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1	Tox1398
CC(Cc1ccc(OCC(=O)O)cc1)NCC(O)c1csc(C(F)(F)F)n1	Tox1399
CC(Cc1ccc2c(c1)OCO2)NO	Tox1400
CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1	Tox1401
CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1	Tox1402
CC(Cc1ccccc1)N(C)Cc1ccco1	Tox1403
CC(Cc1ccccc1)NCCCCl	Tox1404
CC(Cc1ccccc1)NCCn1cnc2c1c(=O)n(C)c(=O)n2C	Tox1405
CC(Cc1ccccc1)NCc1ccccc1Cl	Tox1406
CC(Cl)(Cl)C(=O)O	Tox1407
CC(Cl)(Cl)Cl	Tox1408
CC(Cl)(Cl)[N+](=O)[O-]	Tox1409
CC(Cl)C(=O)O	Tox1410
CC(Cl)C(C)Cl	Tox1411
CC(Cl)C(Cl)Cl	Tox1412
CC(Cl)CCl	Tox1413
CC(Cl)COP(=O)(OCC(C)Cl)OCC(C)Cl	Tox1414
CC(Cl)Cl	Tox1415
CC(N)(C(=O)O)c1ccc(C(=O)O)cc1	Tox1416
CC(N)=O	Tox1417
CC(N)=S	Tox1418
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1	Tox1419
CC(N)C12CC3CC(CC(C3)C1)C2	Tox1420
CC(N)CCCC(C)(C)O	Tox1421
CC(N)CN	Tox1422
CC(N)Cc1c[nH]c2ccc(O)cc12	Tox1423
CC(N)Cc1ccc(O)cc1	Tox1424
CC(N)Cc1ccc2c(c1)OCO2	Tox1425
CC(N/C(=N\C#N)Nc1ccncc1)C(C)(C)C	Tox1426
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	Tox1427
CC(NC(CCc1ccccc1)C(=O)O)C(=O)N1C(=O)N(C)CC1C(=O)O	Tox1428
CC(NCCC(c1ccccc1)c1ccccc1)c1ccccc1	Tox1429
CC(NN)c1ccccc1	Tox1430
CC(NNC(=O)c1ccccc1)c1ccccc1	Tox1431
CC(O)(P(=O)(O)O)P(=O)(O)O	Tox1432
CC(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1	Tox1433
CC(O)C#CC(C)O	Tox1434
CC(O)C(=O)O	Tox1435
CC(O)C(C)O	Tox1436
CC(O)C(CO)C(C)O	Tox1437
CC(O)C1CCCCC1	Tox1438
CC(O)CC(C)(C)O	Tox1439
CC(O)CC(C)O	Tox1440
CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O	Tox1441
CC(O)CCO	Tox1442
CC(O)CCl	Tox1443
CC(O)CN	Tox1444
CC(O)CN(CC(C)O)CC(C)O	Tox1445
CC(O)CN(CCCN(C)C)CCCN(C)C	Tox1446
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O	Tox1447
CC(O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1	Tox1448
CC(O)CNCC(C)O	Tox1449
CC(O)CO	Tox1450
CC(O)COC(C)(C)C	Tox1451
CC(O)COCC(C)O	Tox1452
CC(O)COc1ccccc1	Tox1453
CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C	Tox1454
CC(O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](N)Cc2ccccc2)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O	Tox1455
CC(O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C	Tox1456
CC(O)c1ccccc1	Tox1457
CC(Oc1c(Cl)cccc1Cl)C1=NCCN1	Tox1458
CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O	Tox1459
CC(Oc1cc(Cl)ccc1Cl)C(=O)O	Tox1460
CC(Oc1ccc(Cl)cc1Cl)C(=O)O	Tox1461
CC(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)O	Tox1462
CC(Oc1cccc(Cl)c1)C(=O)O	Tox1463
CC(S)C(=O)NCC(=O)O	Tox1464
CC(S)C(C)S	Tox1465
CC(c1cc2ccccc2s1)N(O)C(N)=O	Tox1466
CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1	Tox1467
CC(c1ccc(O)cc1)c1ccc(O)cc1	Tox1468
CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1	Tox1469
CC/C(=C(/CC)c1ccc(OP(=O)(O)O)cc1)c1ccc(OP(=O)(O)O)cc1	Tox1470
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	Tox1471
CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1	Tox1472
CC/C(=N\OC/C=C/Cl)C1=C(O)CC(C2CCOCC2)CC1=O	Tox1473
CC/C(C)=N/O[Si](C)(O/N=C(\C)CC)O/N=C(\C)CC	Tox1474
CC/C=C/C/C=C/C/C=C/CCCCCCCC(=O)OCC	Tox1475
CC/C=C/CCCCCCCCCCOC(C)=O	Tox1476
CC/C=C/CCO	Tox1477
CC/C=C1/OC(=O)c2ccccc21	Tox1478
CC/C=C\C#N	Tox1479
CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)O	Tox1480
CC/C=C\CC/C=C/C(OCC)OCC	Tox1481
CC/C=C\CC/C=C/CO	Tox1482
CC/C=C\CC1=C(C)CCC1=O	Tox1483
CC/C=C\CCCCCCCCCCOC(C)=O	Tox1484
CC/C=C\CCCCCO	Tox1485
CC/C=C\CCCCO	Tox1486
CC/C=C\CCO	Tox1487
CC/C=C\CCOC(=O)C(C)C	Tox1488
CC/C=C\CCOC(=O)CC	Tox1489
CC/C=C\CCOC(=O)CCCCC	Tox1490
CC/C=C\CCOC(=O)c1ccccc1	Tox1491
CC/C=C\CCOC(=O)c1ccccc1O	Tox1492
CC/C=C\CCOC(C)=O	Tox1493
CC/C=C\CCOC(C)OCC	Tox1494
CC/N=c1/cc2oc3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OCC)c-2cc1C	Tox1495
CC1(C(=O)Nc2ccc(O)c(Cl)c2Cl)CCCCC1	Tox1496
CC1(C)C(/C=C\C=C/C=C\C=C2\N(CCCCS(=O)(=O)[O-])c3ccc4ccccc4c3C2(C)C)=[N+](CCCCS(=O)(=O)O)c2ccc3ccccc3c21	Tox1497
CC1(C)C(=O)C(C)(C)C1=O	Tox1498
CC1(C)C(=O)N(Br)C(=O)N1Br	Tox1499
CC1(C)C(=O)N(Br)C(=O)N1Cl	Tox1500
CC1(C)C(=O)N(Cl)C(=O)N1Br	Tox1501
CC1(C)C(=O)N(Cl)C(=O)N1Cl	Tox1502
CC1(C)C(=O)NC(=O)N1CO	Tox1503
CC1(C)C(=O)NC(=O)NC1=O	Tox1504
CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C	Tox1505
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1	Tox1506
CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1	Tox1507
CC1(C)C(O)C(C)(C)C1O	Tox1508
CC1(C)C2=CCCC(C)(C)[C@]23CC[C@H]1C3	Tox1509
CC1(C)C2CC[C@]3(C)[C@H](C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)O)CC[C@]5(C)CC[C@]43C)[C@@]2(C)CC[C@@H]1O[C@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	Tox1510
CC1(C)CC(=O)CC(C)(C)N1	Tox1511
CC1(C)CC(=O)CC(C)(C)N1[O]	Tox1512
CC1(C)CC(N)CC(C)(C)N1	Tox1513
CC1(C)CC(N)CC(C)(CN)C1	Tox1514
CC1(C)CC(N=C=O)CC(C)(CN=C=O)C1	Tox1515
CC1(C)CC(O)CC(C)(C)N1	Tox1516
CC1(C)CC(O)CC(C)(C)N1[O]	Tox1517
CC1(C)CC(OC(=O)CCCCCCCCC(=O)OC2CC(C)(C)NC(C)(C)C2)CC(C)(C)N1	Tox1518
CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1	Tox1519
CC1(C)CCC(C)(C)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)ccc21	Tox1520
